name,address
STARLIGHT MANOR,"911 STEWART ST, CARMI, IL 62821"
STONEFORT APTS,"145 LINCOLN ST, STONEFORT, IL 62987"
STREATOR MANOR,"404 RICHARDS ST, STREATOR, IL 61364"
SUNNYSIDE APTS,"850 W SUNNYSIDE AVE, CHICAGO, IL 60640"
SYCAMORE WEST APTS,"849 DEKALB AVE, SYCAMORE, IL 60178"
TONICA MANOR,"307 MUGEKEWIS ST, TONICA, IL 61370"
UJAAMA,"7655 N BOSWORTH AVE, CHICAGO, IL 60626"
VICTORIAN PARK,"21 N PARK BLVD, STREAMWOOD, IL 60107"
VILLAGE APTS OF CENTRALIA,"1102 E 13TH ST, CENTRALIA, IL 62801"
VILLAGE APTS OF DIVERNON,"421 E KENNEY ST, DIVERNON, IL 62530"
VILLAGE APTS OF SPARTA,"215 W STEVENSON DR, SPARTA, IL 62286"
WENTWORTH GARDENS,"1100 WENTWORTH AVE, CHICAGO HEIGHTS, IL "
WESLEY-GREENBAY,"2014 WESLEY AVE, EVANSTON, IL 60201"
WOODLAKE VILLAGE APTS,"1204 E 46TH ST, CHICAGO, IL 60653"
WOODLAND PARK APTS,"606 E WOODLAND PARK AVE, CHICAGO, IL 60616"
WRENWOOD RETIREMENT APTS,"4 BROADWAY, WITT, IL "
146 & 419 S HAMLIN,"146 S HAMLIN BLVD, CHICAGO, IL 60624"
1517-19 W MARQUETTE,"1517 W MARQUETTE RD, CHICAGO, IL 60636"
4611 S DREXEL BLVD,"4611 S DREXEL BLVD, CHICAGO, IL 60653"
46TH & VINCENNES,"444 E 46TH ST, CHICAGO, IL 60653"
7024-32 S PAXTON,"7024 S PAXTON AVE, CHICAGO, IL 60649"
7500-06 S EGGLESTON,"7500 S EGGLESTON AVE, CHICAGO, IL 60620"
AUSTIN SHORE DEVELOPMENT,"151 N LAVERGNE AVE, CHICAGO, IL 60644"
AUSTIN SHORES,"7117 S EUCLID AVE, CHICAGO, IL 60649"
BUTTS APTS #2,"606 W LAWRENCE AVE, SPRINGFIELD, IL 62704"
